year, month, day, dow, hol, ObsCode, dcnn,Pmsl,Tdry,Twet,RH,Tx,Tn,N10,dd_pt,ff_mph,ww,RR,rd,af,gf,tx0,sd_cm,sss
1908,01,01,3_we,NY,"MO return; min temp estimated on form",5578,1016.4,0.7,-0.6,76,1.0,0.6,10,SE,x,00,0.0,0,0,x,0,x,x
1908,01,02,4_th,x,"MO return",5578,1028.3,-1.8,x,x,-0.3,-2.1,0,E,x,00,0.0,0,1,x,1,x,x
1908,01,03,5_fr,x,"MO return",5578,1026.6,-5.1,x,x,-0.2,-5.3,0,NE,x,00,0.0,0,1,x,1,x,x
1908,01,04,6_sa,x,"MO return",5578,1025.6,-2.9,-3.1,93,2.8,-5.2,0,N,x,00,0.0,0,1,x,0,x,x
1908,01,05,7_su,x,"MO return",5578,1028.6,-5.6,-5.7,94,4.8,-6.6,1,NW,x,00,0.1,0,1,x,0,x,x
1908,01,06,1_mo,x,"MO return",5578,1021.0,4.8,4.2,91,8.8,-7.3,10,SE,x,00,1.3,1,1,x,0,x,x
1908,01,07,2_tu,x,"MO return",5578,1003.8,8.4,8.0,95,10.6,4.2,10,S,x,52,27.7,1,0,x,0,x,x
1908,01,08,3_we,x,"MO return",5578,983.3,3.5,2.8,91,5.0,0.9,10,SW,x,52,0.8,1,0,x,0,x,x
1908,01,09,4_th,x,"MO return",5578,1006.1,1.2,-0.1,78,2.3,1.0,8,NW,x,00,0.8,1,0,x,0,x,x
1908,01,10,5_fr,x,"MO return",5578,1026.0,-0.6,-0.8,93,1.7,-1.6,5,N,x,00,0.0,0,1,x,0,x,x
1908,01,11,6_sa,x,"MO return",5578,1032.5,-6.4,-6.6,90,1.0,-7.1,0,E,x,00,0.0,0,1,x,0,x,x
1908,01,12,7_su,x,"MO return",5578,1028.3,-7.7,-7.8,93,1.1,-8.1,0,ESE,x,00,0.0,0,1,x,0,x,x
1908,01,13,1_mo,x,"MO return",5578,1023.6,-4.9,-5.0,94,4.3,-7.7,0,E,x,00,0.0,0,1,x,0,x,x
1908,01,14,2_tu,x,"MO return",5578,1025.5,4.3,3.1,82,6.6,-4.9,10,NE,x,00,0.3,1,1,x,0,x,x
1908,01,15,3_we,x,"MO return",5578,1023.6,5.5,5.3,97,9.9,3.9,10,SW,x,00,0.0,0,0,x,0,x,x
1908,01,16,4_th,x,"MO return",5578,1016.2,9.7,9.0,91,10.3,5.3,10,S,x,00,1.2,1,0,x,0,x,x
1908,01,17,5_fr,x,"MO return",5578,1017.6,9.8,8.8,87,11.8,9.4,10,SW,x,00,0.0,0,0,x,0,x,x
